-122.23	37.88	41	880	129	322	126	8.3252	3	452600
-122.22	37.86	21	7099	1106	2401	1138	8.3014	3	358500
-122.24	37.85	52	1467	190	496	177	7.2574	3	352100
-122.25	37.85	52	1274	235	558	219	5.6431	3	341300
-122.25	37.85	52	1627	280	565	259	3.8462	3	342200
-122.25	37.85	52	919	213	413	193	4.0368	3	269700
-122.25	37.84	52	2535	489	1094	514	3.6591	3	299200
-122.25	37.84	52	3104	687	1157	647	3.12	3	241400
-122.26	37.84	42	2555	665	1206	595	2.0804	3	226700
-122.25	37.84	52	3549	707	1551	714	3.6912	3	261100
-122.26	37.85	52	2202	434	910	402	3.2031	3	281500
-122.26	37.85	52	3503	752	1504	734	3.2705	3	241800
-122.26	37.85	52	2491	474	1098	468	3.075	3	213500
-122.26	37.84	52	696	191	345	174	2.6736	3	191300
-122.26	37.85	52	2643	626	1212	620	1.9167	3	159200
-122.26	37.85	50	1120	283	697	264	2.125	3	140000
-122.27	37.85	52	1966	347	793	331	2.775	3	152500
-122.27	37.85	52	1228	293	648	303	2.1202	3	155500
-122.26	37.84	50	2239	455	990	419	1.9911	3	158700
-122.27	37.84	52	1503	298	690	275	2.6033	3	162900
-122.27	37.85	40	751	184	409	166	1.3578	3	147500
-122.27	37.85	42	1639	367	929	366	1.7135	3	159800
-122.27	37.84	52	2436	541	1015	478	1.725	3	113900
-122.27	37.84	52	1688	337	853	325	2.1806	3	99700
-122.27	37.84	52	2224	437	1006	422	2.6	3	132600
-122.28	37.85	41	535	123	317	119	2.4038	3	107500
-122.28	37.85	49	1130	244	607	239	2.4597	3	93800
-122.28	37.85	52	1898	421	1102	397	1.808	3	105500
-122.28	37.84	50	2082	492	1131	473	1.6424	3	108900
-122.28	37.84	52	729	160	395	155	1.6875	3	132000
-122.28	37.84	49	1916	447	863	378	1.9274	3	122300
-122.28	37.84	52	2153	481	1168	441	1.9615	3	115200
-122.27	37.84	48	1922	409	1026	335	1.7969	3	110400
-122.27	37.83	49	1655	366	754	329	1.375	3	104900
-122.27	37.83	51	2665	574	1258	536	2.7303	3	109700
-122.27	37.83	49	1215	282	570	264	1.4861	3	97200
-122.27	37.83	48	1798	432	987	374	1.0972	3	104500
-122.28	37.83	52	1511	390	901	403	1.4103	3	103900
-122.26	37.83	52	1470	330	689	309	3.48	3	191400
-122.26	37.83	52	2432	715	1377	696	2.5898	3	176000
-122.26	37.83	52	1665	419	946	395	2.0978	3	155400
-122.26	37.83	51	936	311	517	249	1.2852	3	150000
-122.26	37.84	49	713	202	462	189	1.025	3	118800
-122.26	37.84	52	950	202	467	198	3.9643	3	188800
-122.26	37.83	52	1443	311	660	292	3.0125	3	184400
-122.26	37.83	52	1656	420	718	382	2.6768	3	182300
-122.26	37.83	50	1125	322	616	304	2.026	3	142500
-122.27	37.82	43	1007	312	558	253	1.7348	3	137500
-122.26	37.82	40	624	195	423	160	0.9506	3	187500
-122.27	37.82	40	946	375	700	352	1.775	3	112500
-122.27	37.82	21	896	453	735	438	0.9218	3	171900
-122.27	37.82	43	1868	456	1061	407	1.5045	3	93800
-122.27	37.82	41	3221	853	1959	720	1.1108	3	97500
-122.27	37.82	52	1630	456	1162	400	1.2475	3	104200
-122.28	37.82	52	1170	235	701	233	1.6098	3	87500
-122.28	37.82	52	945	243	576	220	1.4113	3	83100
-122.28	37.82	52	1238	288	622	259	1.5057	3	87500
-122.28	37.82	52	1489	335	728	244	0.8172	3	85300
-122.28	37.82	52	1387	341	1074	304	1.2171	3	80300
-122.29	37.82	2	158	43	94	57	2.5625	3	60000
-122.29	37.83	52	1121	211	554	187	3.3929	3	75700
-122.29	37.82	49	135	29	86	23	6.1183	3	75000
-122.29	37.81	50	760	190	377	122	0.9011	3	86100
-122.3	37.81	52	1224	237	521	159	1.191	3	76100
-122.3	37.81	48	828	182	392	133	2.5938	3	73500
-122.3	37.81	52	1010	209	604	187	1.1667	3	78400
-122.3	37.81	48	1455	354	788	332	0.8056	3	84400
-122.29	37.8	52	1027	244	492	147	2.6094	3	81300
-122.3	37.81	52	572	109	274	82	1.8516	3	85000
-122.29	37.81	46	2801	644	1823	611	0.9802	3	129200
-122.29	37.81	26	768	152	392	127	1.7719	3	82500
-122.29	37.81	46	935	297	582	277	0.7286	3	95200
-122.29	37.81	49	844	204	560	152	1.75	3	75000
-122.29	37.81	46	12	4	18	7	0.4999	3	67500
-122.29	37.81	20	835	161	290	133	2.483	3	137500
-122.28	37.81	17	1237	462	762	439	0.9241	3	177500
-122.28	37.81	36	2914	562	1236	509	2.4464	3	102100
-122.28	37.81	19	1207	243	721	207	1.1111	3	108300
-122.29	37.81	23	1745	374	1054	325	0.8026	3	112500
-122.28	37.8	38	684	176	344	155	2.0114	3	131300
-122.28	37.81	17	924	289	609	289	1.5	3	162500
-122.27	37.81	52	210	56	183	56	1.1667	3	112500
-122.28	37.81	52	340	97	200	87	1.5208	3	112500
-122.28	37.81	52	386	164	346	155	0.8075	3	137500
-122.28	37.81	35	948	184	467	169	1.8088	3	118800
-122.28	37.81	52	773	143	377	115	2.4083	3	98200
-122.27	37.81	40	880	451	582	380	0.977	3	118800
-122.27	37.81	10	875	348	546	330	0.76	3	162500
-122.27	37.8	10	105	42	125	39	0.9722	3	137500
-122.27	37.8	52	249	78	396	85	1.2434	3	500001
-122.27	37.8	16	994	392	800	362	2.0938	3	162500
-122.28	37.8	52	215	87	904	88	0.8668	3	137500
-122.28	37.8	52	96	31	191	34	0.75	3	162500
-122.27	37.79	27	1055	347	718	302	2.6354	3	187500
-122.27	37.8	39	1715	623	1327	467	1.8477	3	179200
-122.26	37.8	36	5329	2477	3469	2323	2.0096	3	130000
-122.26	37.82	31	4596	1331	2048	1180	2.8345	3	183800
-122.26	37.81	29	335	107	202	91	2.0062	3	125000
