"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"01002099999","2023-01-10T13:00:00","4","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","99999","V020","123,1,N,0168,1","99999,9,9,9","999999,9,9,9","-0022,1","-0037,1","09962,1","120,M,-0021,1","120,N,-0023,1","99999,9,09950,1","7,1,030,1,+999,9","0186,1","9,99,0170,1,999","SYN004BUFR",
"01002099999","2023-01-11T00:00:00","4","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","99999","V020","150,1,N,0048,1","99999,9,9,9","999999,9,9,9","-0019,1","-0034,1","09913,1",,,"99999,9,09901,1","7,1,010,1,+999,9","0075,1","3,99,9999,9,999","SYN004BUFR",
"01002099999","2023-01-12T07:00:00","4","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","99999","V020","345,1,N,0019,1","99999,9,9,9","999999,9,9,9","-0115,1","-0131,1","09984,1","120,M,-0116,1","120,N,-0119,1","99999,9,09972,1","4,1,000,1,+999,9",,"9,99,0027,1,999","SYN004BUFR",
"01002099999","2023-01-12T08:00:00","4","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","99999","V020","350,1,N,0033,1","99999,9,9,9","999999,9,9,9","-0114,1","-0131,1","09984,1","120,M,-0112,1","120,N,-0116,1","99999,9,09972,1",,,"9,99,0039,1,999","SYN004BUFR","Q014     3APCTENQ02.1    3APC3  "
"01002099999","2023-01-12T09:00:00","4","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","99999","V020","350,1,N,0034,1","99999,9,9,9","999999,9,9,9","-0110,1","-0128,1","09985,1","120,M,-0111,1","120,N,-0114,1","99999,9,09973,1","4,1,000,1,+999,9",,"9,99,0039,1,999","SYN004BUFR",
"01002099999","2023-01-15T20:00:00","4","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","99999","V020","091,1,N,0115,1","99999,9,9,9","999999,9,9,9","-0074,1","-0119,1","10071,1",,,"99999,9,10059,1","2,1,008,1,+999,9","0151,1","9,99,0141,1,999","SYN004BUFR",
"01002099999","2023-01-18T08:00:00","4","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","99999","V020","999,9,N,0048,1","99999,9,9,9","999999,9,9,9","-0064,1","-0110,1","10128,1","120,M,-0063,1","120,N,-0066,1","99999,9,10115,1","1,1,006,1,+999,9","0074,1","9,99,0057,1,999","SYN004BUFR",
"01002099999","2023-01-22T21:00:00","4","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","99999","V020","127,1,N,0096,1","99999,9,9,9","999999,9,9,9","-0030,1","-0046,1","09891,1",,,"99999,9,09879,1","6,1,037,1,+999,9","0104,1","3,99,9999,9,999","SYN004BUFR",
"01002099999","2023-01-23T00:00:00","4","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","99999","V020","119,1,N,0146,1","99999,9,9,9","999999,9,9,9","-0027,1","-0039,1","09837,1",,,"99999,9,09826,1","6,1,053,1,+999,9","0172,1","3,99,9999,9,999","SYN004BUFR",
"01002099999","2023-01-23T23:00:00","4","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","99999","V020","108,1,N,0033,1","99999,9,9,9","999999,9,9,9","-0045,1","-0094,1","09700,1",,,"99999,9,09688,1","1,1,005,1,+999,9","0052,1","9,99,0052,1,999","SYN004BUFR",
"01002099999","2023-01-24T22:00:00","4","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","99999","V020","330,1,N,0083,1","99999,9,9,9","999999,9,9,9","-0069,1","-0093,1","09837,1",,,"99999,9,09825,1","2,1,033,1,+999,9","0103,1","9,99,0087,1,999","SYN004BUFR",
"01002099999","2023-01-26T06:00:00","4","80.05","16.25","8.0","VERLEGENHUKEN, NO","FM-12","99999","V020","312,1,N,0093,1","99999,9,9,9","999999,9,9,9","-0130,1","-0165,1","10010,1",,,"99999,9,09997,1",,"0120,1","9,99,0119,1,999","SYN004BUFR","Q014     3APCTENQ02.1    3APC3  "
